time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-30 00:00:00+00:00,,,2,1
2022-04-05 00:00:00+00:00,,,9,1
2022-04-07 00:00:00+00:00,31.0,2.0,217,1
2022-04-08 00:00:00+00:00,146.0,9.0,290,3
2022-04-09 00:00:00+00:00,35.0,8.0,70,1
2022-04-10 00:00:00+00:00,54.0,7.0,65,1
2022-04-11 00:00:00+00:00,108.0,7.0,194,1
