url_path,views_total,views_unique
/pthom/immvision/actions,190,1
/pthom/immvision,28,3
/pthom/immvision/actions/runs/2109455381,18,1
/pthom/immvision/actions/runs/2109455386,18,1
/pthom/immvision/actions/runs/2109455383,16,1
/pthom/immvision/runs/5869912579,11,1
/pthom/immvision/runs/5869912572,10,1
/pthom/immvision/runs/5869912576,9,1
/pthom/immvision/actions/runs/2114889445,8,1
/pthom/immvision/actions/runs/2115627165,6,1
