time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-30 00:00:00+00:00,0,0,2,1
2022-04-05 00:00:00+00:00,0,0,9,1
2022-04-07 00:00:00+00:00,31,2,217,1
2022-04-08 00:00:00+00:00,146,9,290,3
2022-04-09 00:00:00+00:00,35,8,70,1
2022-04-10 00:00:00+00:00,54,7,65,1
2022-04-11 00:00:00+00:00,108,7,194,1
